[2019-07-24T13:14:52.783-0300][3.366s][info][gc,start     ] GC(4) Pause Young (Normal) (G1 Evacuation Pause)
[2019-07-24T13:14:52.783-0300][3.366s][info][gc,task      ] GC(4) Using 4 workers of 4 for evacuation
[2019-07-24T13:14:52.936-0300][3.519s][info][gc,phases    ] GC(4)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:14:52.936-0300][3.519s][info][gc,phases    ] GC(4)   Evacuate Collection Set: 151.3ms
[2019-07-24T13:14:52.936-0300][3.519s][info][gc,phases    ] GC(4)   Post Evacuate Collection Set: 1.4ms
[2019-07-24T13:14:52.936-0300][3.519s][info][gc,phases    ] GC(4)   Other: 0.2ms
[2019-07-24T13:14:52.936-0300][3.519s][info][gc,heap      ] GC(4) Eden regions: 21->0(21)
[2019-07-24T13:14:52.936-0300][3.519s][info][gc,heap      ] GC(4) Survivor regions: 4->4(4)
[2019-07-24T13:14:52.936-0300][3.519s][info][gc,heap      ] GC(4) Old regions: 84->106
[2019-07-24T13:14:52.936-0300][3.519s][info][gc,heap      ] GC(4) Humongous regions: 37->37
[2019-07-24T13:14:52.936-0300][3.519s][info][gc,metaspace ] GC(4) Metaspace: 7669K->7669K(1056768K)
[2019-07-24T13:14:52.936-0300][3.519s][info][gc           ] GC(4) Pause Young (Normal) (G1 Evacuation Pause) 145M->147M(512M) 153.082ms
[2019-07-24T13:14:52.936-0300][3.519s][info][gc,cpu       ] GC(4) User=0.35s Sys=0.01s Real=0.15s
[2019-07-24T13:14:53.384-0300][3.968s][info][gc,start     ] GC(5) Pause Young (Normal) (G1 Evacuation Pause)
[2019-07-24T13:14:53.384-0300][3.968s][info][gc,task      ] GC(5) Using 4 workers of 4 for evacuation
[2019-07-24T13:14:53.525-0300][4.108s][info][gc,phases    ] GC(5)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:14:53.525-0300][4.108s][info][gc,phases    ] GC(5)   Evacuate Collection Set: 139.9ms
[2019-07-24T13:14:53.525-0300][4.109s][info][gc,phases    ] GC(5)   Post Evacuate Collection Set: 0.8ms
[2019-07-24T13:14:53.525-0300][4.109s][info][gc,phases    ] GC(5)   Other: 0.2ms
[2019-07-24T13:14:53.525-0300][4.109s][info][gc,heap      ] GC(5) Eden regions: 21->0(21)
[2019-07-24T13:14:53.525-0300][4.109s][info][gc,heap      ] GC(5) Survivor regions: 4->4(4)
[2019-07-24T13:14:53.525-0300][4.109s][info][gc,heap      ] GC(5) Old regions: 106->128
[2019-07-24T13:14:53.525-0300][4.109s][info][gc,heap      ] GC(5) Humongous regions: 37->37
[2019-07-24T13:14:53.525-0300][4.109s][info][gc,metaspace ] GC(5) Metaspace: 7669K->7669K(1056768K)
[2019-07-24T13:14:53.525-0300][4.109s][info][gc           ] GC(5) Pause Young (Normal) (G1 Evacuation Pause) 168M->169M(512M) 141.064ms
[2019-07-24T13:14:53.525-0300][4.109s][info][gc,cpu       ] GC(5) User=0.43s Sys=0.02s Real=0.14s
[2019-07-24T13:14:54.168-0300][4.751s][info][gc,start     ] GC(6) Pause Young (Normal) (G1 Evacuation Pause)
[2019-07-24T13:14:54.168-0300][4.752s][info][gc,task      ] GC(6) Using 4 workers of 4 for evacuation
[2019-07-24T13:14:54.306-0300][4.889s][info][gc,phases    ] GC(6)   Pre Evacuate Collection Set: 0.0ms
[2019-07-24T13:14:54.306-0300][4.889s][info][gc,phases    ] GC(6)   Evacuate Collection Set: 137.1ms
[2019-07-24T13:14:54.306-0300][4.889s][info][gc,phases    ] GC(6)   Post Evacuate Collection Set: 0.5ms
[2019-07-24T13:14:54.306-0300][4.889s][info][gc,phases    ] GC(6)   Other: 0.2ms
[2019-07-24T13:14:54.306-0300][4.889s][info][gc,heap      ] GC(6) Eden regions: 21->0(21)
[2019-07-24T13:14:54.306-0300][4.889s][info][gc,heap      ] GC(6) Survivor regions: 4->4(4)
[2019-07-24T13:14:54.306-0300][4.889s][info][gc,heap      ] GC(6) Old regions: 128->150
[2019-07-24T13:14:54.306-0300][4.889s][info][gc,heap      ] GC(6) Humongous regions: 70->70
[2019-07-24T13:14:54.306-0300][4.889s][info][gc,metaspace ] GC(6) Metaspace: 7671K->7671K(1056768K)
[2019-07-24T13:14:54.306-0300][4.889s][info][gc           ] GC(6) Pause Young (Normal) (G1 Evacuation Pause) 223M->224M(512M) 138.028ms
[2019-07-24T13:14:54.306-0300][4.889s][info][gc,cpu       ] GC(6) User=0.49s Sys=0.02s Real=0.14s
[2019-07-24T13:14:54.554-0300][5.137s][info][gc,start     ] GC(7) Pause Young (Normal) (G1 Evacuation Pause)
